"approved_symbol"	"previous_symbols"	"alias_symbols"	"LNCipedia"	"all"
"FCRL1"	""	"FCRH1, IRTA5, IFGP1, CD307a"	""	"FCRL1,,FCRH1, IRTA5, IFGP1, CD307a,"
"FCRL2"	"SPAP1"	"FCRH2, IRTA4, CD307b"	""	"FCRL2,SPAP1,FCRH2, IRTA4, CD307b,"
"FCRL3"	""	"FCRH3, IRTA3, IFGP3, SPAP2a, SPAP2, SPAP2b, SPAP2c, SPAP2d, SPAP2e, CD307c"	""	"FCRL3,,FCRH3, IRTA3, IFGP3, SPAP2a, SPAP2, SPAP2b, SPAP2c, SPAP2d, SPAP2e, CD307c,"
"FCRL4"	""	"FCRH4, IRTA1, IGFP2, CD307d"	""	"FCRL4,,FCRH4, IRTA1, IGFP2, CD307d,"
"FCRL5"	""	"FCRH5, IRTA2, BXMAS1, CD307e"	""	"FCRL5,,FCRH5, IRTA2, BXMAS1, CD307e,"
"FCRL6"	""	"IFGP6, FLJ16056, FcRH6"	""	"FCRL6,,IFGP6, FLJ16056, FcRH6,"
"FCRLA"	"FCRLM1"	"MGC4595, FCRLc2, FCRLb, FCRLc1, FCRLd, FCRLe, FCRL, FREB, FCRLX"	""	"FCRLA,FCRLM1,MGC4595, FCRLc2, FCRLb, FCRLc1, FCRLd, FCRLe, FCRL, FREB, FCRLX,"
"FCRLB"	"FCRLM2"	"FLJ31052, FCRL2, FREB-2, FCRLY"	""	"FCRLB,FCRLM2,FLJ31052, FCRL2, FREB-2, FCRLY,"
"FDFT1"	""	"SQS"	""	"FDFT1,,SQS,"
"FDPS"	""	""	""	"FDPS,,,"
"FDX2"	"FDX1L"	"MGC19604"	""	"FDX2,FDX1L,MGC19604,"
"FER1L4"	"C20orf124"	"bA563A22B.1, dJ309K20.1"	""	"FER1L4,C20orf124,bA563A22B.1, dJ309K20.1,"
"FER1L6"	""	"C8ORFK23"	""	"FER1L6,,C8ORFK23,"
"FER1L6-AS1"	"C8orf54"	"FLJ35721"	"FER1L6-AS1"	"FER1L6-AS1,C8orf54,FLJ35721,FER1L6-AS1"
"FER1L6-AS2"	"C8orf78"	"FLJ32770"	"FER1L6-AS2"	"FER1L6-AS2,C8orf78,FLJ32770,FER1L6-AS2"
"FERMT3"	""	"URP2, KIND3, MIG2B, MGC10966, UNC112C"	""	"FERMT3,,URP2, KIND3, MIG2B, MGC10966, UNC112C,"
"FETUB"	""	""	""	"FETUB,,,"
"FFAR1"	"GPR40"	"FFA1R"	""	"FFAR1,GPR40,FFA1R,"
"FFAR2"	"GPR43"	"FFA2R"	""	"FFAR2,GPR43,FFA2R,"
"FFAR3"	"GPR41"	"FFA3R"	""	"FFAR3,GPR41,FFA3R,"
"FGD5P1"	""	""	""	"FGD5P1,,,"
"FGF3"	"INT2"	"HBGF-3"	""	"FGF3,INT2,HBGF-3,"
"FGF4"	"HSTF1"	"K-FGF, HBGF-4, HST, HST-1, KFGF"	""	"FGF4,HSTF1,K-FGF, HBGF-4, HST, HST-1, KFGF,"
"FGF12"	"FGF12B"	"FHF1"	""	"FGF12,FGF12B,FHF1,"
"FGF13-AS1"	""	""	"FGF13-AS1"	"FGF13-AS1,,,FGF13-AS1"
"FGF17"	""	"FGF-13"	""	"FGF17,,FGF-13,"
"FGF19"	""	""	""	"FGF19,,,"
"FGF20"	""	""	""	"FGF20,,,"
"FGFR1"	"FLT2, KAL2"	"H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331"	""	"FGFR1,FLT2, KAL2,H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331,"
"FGFR3"	"ACH"	"CEK2, JTK4, CD333"	""	"FGFR3,ACH,CEK2, JTK4, CD333,"
"FGL1"	""	"HFREP-1, HPS"	""	"FGL1,,HFREP-1, HPS,"
"FH"	""	""	""	"FH,,,"
"FHIP2B"	"RAI16, FAM160B2"	"FLJ21801"	""	"FHIP2B,RAI16, FAM160B2,FLJ21801,"
"FIBP"	""	"FGFIBP"	""	"FIBP,,FGFIBP,"
"FIRRE"	""	"LINC01200"	"FIRRE"	"FIRRE,,LINC01200,FIRRE"
"FITM2"	"C20orf142"	"dJ881L22.2, FIT2"	""	"FITM2,C20orf142,dJ881L22.2, FIT2,"
"FKBP2"	""	"FKBP-13, FKBP13, PPIase"	""	"FKBP2,,FKBP-13, FKBP13, PPIase,"
"FKBP8"	""	"FKBP38, FKBPr38"	""	"FKBP8,,FKBP38, FKBPr38,"
"FLAD1"	""	"PP591, FAD1"	""	"FLAD1,,PP591, FAD1,"
"FLG"	""	""	""	"FLG,,,"
"FLG-AS1"	""	""	"FLG-AS1"	"FLG-AS1,,,FLG-AS1"
"FLG2"	""	"IFPS"	""	"FLG2,,IFPS,"
"FLOT2"	"M17S1"	"ESA, ESA1, ECS-1, ECS1"	""	"FLOT2,M17S1,ESA, ESA1, ECS-1, ECS1,"
"FLRT1"	""	"MGC21624, SPG68"	""	"FLRT1,,MGC21624, SPG68,"
"FLVCR1"	"AXPC1"	"FLVCR, MFSD7B, PCA, SLC49A1"	""	"FLVCR1,AXPC1,FLVCR, MFSD7B, PCA, SLC49A1,"
