"approved_symbol"	"previous_symbols"	"alias_symbols"	"LNCipedia"	"all"
"SHC1"	"SHC"	"p66, ShcA"	""	"SHC1,SHC,p66, ShcA,"
"SHCBP1L"	"C1orf14"	""	""	"SHCBP1L,C1orf14,,"
"SHE"	""	""	""	"SHE,,,"
"SHFL"	"C19orf66"	"FLJ11286, RyDEN, IRAV, SFL"	""	"SHFL,C19orf66,FLJ11286, RyDEN, IRAV, SFL,"
"SHISA4"	"C1orf40, TMEM58"	"hShisa4"	""	"SHISA4,C1orf40, TMEM58,hShisa4,"
"SHKBP1"	""	"PP203, Sb1"	""	"SHKBP1,,PP203, Sb1,"
"SHOX2"	""	"SHOT, OG12X, OG12"	""	"SHOX2,,SHOT, OG12X, OG12,"
"SI"	""	""	""	"SI,,,"
"SIAH2"	""	""	""	"SIAH2,,,"
"SIN3B"	""	"KIAA0700"	""	"SIN3B,,KIAA0700,"
"SIPA1"	""	"SPA1"	""	"SIPA1,,SPA1,"
"SIPA1L2"	""	"KIAA1389, SPAR2"	""	"SIPA1L2,,KIAA1389, SPAR2,"
"SIPA1L3"	""	"KIAA0545, SPAR3"	""	"SIPA1L3,,KIAA0545, SPAR3,"
"SIRT2"	"SIR2L"	""	""	"SIRT2,SIR2L,,"
"SIRT7"	""	""	""	"SIRT7,,,"
"SIX5"	"DMAHP"	""	""	"SIX5,DMAHP,,"
"SKAP1"	"SCAP1"	"SKAP55"	""	"SKAP1,SCAP1,SKAP55,"
"SKIL"	""	"SNO, SnoN, SnoA"	""	"SKIL,,SNO, SnoN, SnoA,"
"SKP2"	""	"FBXL1, FBL1, p45"	""	"SKP2,,FBXL1, FBL1, p45,"
"SLA"	""	"SLA1, SLAP-1, hSLAP, SLAP"	""	"SLA,,SLA1, SLAP-1, hSLAP, SLAP,"
"SLA2"	"C20orf156"	"FLJ21992, SLAP-2"	""	"SLA2,C20orf156,FLJ21992, SLAP-2,"
"SLAMF1"	"SLAM"	"CD150"	""	"SLAMF1,SLAM,CD150,"
"SLAMF6"	""	"KALI, NTBA, KALIb, Ly108, SF2000, NTB-A, CD352"	""	"SLAMF6,,KALI, NTBA, KALIb, Ly108, SF2000, NTB-A, CD352,"
"SLAMF7"	""	"CRACC, 19A, CS1, CD319"	""	"SLAMF7,,CRACC, 19A, CS1, CD319,"
"SLAMF8"	""	"BLAME, SBBI42, CD353"	""	"SLAMF8,,BLAME, SBBI42, CD353,"
"SLAMF9"	""	"CD2F-10, CD84-H1, SF2001"	""	"SLAMF9,,CD2F-10, CD84-H1, SF2001,"
"SLBP"	""	"HBP"	""	"SLBP,,HBP,"
"SLC1A3"	""	"EAAT1, GLAST, EA6"	""	"SLC1A3,,EAAT1, GLAST, EA6,"
"SLC1A6"	""	"EAAT4"	""	"SLC1A6,,EAAT4,"
"SLC2A1"	"GLUT1, GLUT, HTLVR, CSE"	"DYT18, DYT9"	""	"SLC2A1,GLUT1, GLUT, HTLVR, CSE,DYT18, DYT9,"
"SLC2A1-DT"	"SLC2A1-AS1"	""	"SLC2A1-AS1"	"SLC2A1-DT,SLC2A1-AS1,,SLC2A1-AS1"
"SLC2A2"	"GLUT2"	""	""	"SLC2A2,GLUT2,,"
"SLC2A4RG"	""	"GEF, HDBP1, Si-1-2, Si-1-2-19"	""	"SLC2A4RG,,GEF, HDBP1, Si-1-2, Si-1-2-19,"
"SLC2A10"	""	"GLUT10"	""	"SLC2A10,,GLUT10,"
"SLC4A1AP"	""	"kanadaptin, HLC3"	""	"SLC4A1AP,,kanadaptin, HLC3,"
"SLC5A5"	""	"NIS"	""	"SLC5A5,,NIS,"
"SLC6A3"	"DAT1"	"DAT"	""	"SLC6A3,DAT1,DAT,"
"SLC6A18"	""	"FLJ31236, Xtrp2"	""	"SLC6A18,,FLJ31236, Xtrp2,"
"SLC6A19"	""	""	""	"SLC6A19,,,"
"SLC7A2"	"ATRC2"	"CAT-2, HCAT2"	""	"SLC7A2,ATRC2,CAT-2, HCAT2,"
"SLC7A9"	"CSNU3"	""	""	"SLC7A9,CSNU3,,"
"SLC7A10"	""	"asc-1"	""	"SLC7A10,,asc-1,"
"SLC7A13"	""	"AGT-1, XAT2"	""	"SLC7A13,,AGT-1, XAT2,"
"SLC7A14"	""	"KIAA1613, PPP1R142"	""	"SLC7A14,,KIAA1613, PPP1R142,"
"SLC9A3"	"NHE3"	""	""	"SLC9A3,NHE3,,"
"SLC9A7"	""	"NHE7"	""	"SLC9A7,,NHE7,"
"SLC9A8"	""	"KIAA0939, NHE8"	""	"SLC9A8,,KIAA0939, NHE8,"
"SLC9A9"	""	"FLJ35613, NHE9"	""	"SLC9A9,,FLJ35613, NHE9,"
"SLC9C2"	"SLC9A11"	"MGC43026"	""	"SLC9C2,SLC9A11,MGC43026,"
"SLC10A5"	""	""	""	"SLC10A5,,,"
"SLC12A5"	""	"KIAA1176, KCC2"	""	"SLC12A5,,KIAA1176, KCC2,"
"SLC12A7"	""	"KCC4, DKFZP434F076"	""	"SLC12A7,,KCC4, DKFZP434F076,"
"SLC13A2"	""	"NaDC-1"	""	"SLC13A2,,NaDC-1,"
"SLC13A3"	""	"NADC3, SDCT2"	""	"SLC13A3,,NADC3, SDCT2,"
"SLC16A3"	""	"MCT3, MCT4"	""	"SLC16A3,,MCT3, MCT4,"
"SLC16A5"	""	"MCT5, MCT6"	""	"SLC16A5,,MCT5, MCT6,"
"SLC17A9"	"C20orf59"	"FLJ23412, VNUT"	""	"SLC17A9,C20orf59,FLJ23412, VNUT,"
"SLC18A1"	"VMAT1, VAT1"	"CGAT"	""	"SLC18A1,VMAT1, VAT1,CGAT,"
"SLC19A2"	"TRMA"	"THTR1"	""	"SLC19A2,TRMA,THTR1,"
"SLC20A2"	"MLVAR, GLVR2"	"PiT-2, Glvr-2, Ram-1"	""	"SLC20A2,MLVAR, GLVR2,PiT-2, Glvr-2, Ram-1,"
"SLC22A20P"	"SLC22A20"	"Oat6, FLJ16331"	""	"SLC22A20P,SLC22A20,Oat6, FLJ16331,"
"SLC25A10"	"DIC"	""	""	"SLC25A10,DIC,,"
"SLC25A19"	"MCPHA"	"DNC, MUP1, TPC"	""	"SLC25A19,MCPHA,DNC, MUP1, TPC,"
"SLC25A21"	""	"ODC1, ODC"	""	"SLC25A21,,ODC1, ODC,"
"SLC25A32"	""	"MFTC"	""	"SLC25A32,,MFTC,"
"SLC25A36"	""	"FLJ10618, PNC2"	""	"SLC25A36,,FLJ10618, PNC2,"
"SLC25A37"	""	"MSCP, MFRN, MFRN1, HT015"	""	"SLC25A37,,MSCP, MFRN, MFRN1, HT015,"
"SLC25A42"	""	"MGC26694"	""	"SLC25A42,,MGC26694,"
"SLC25A44"	""	"FLJ90431, KIAA0446"	""	"SLC25A44,,FLJ90431, KIAA0446,"
"SLC25A45"	""	""	""	"SLC25A45,,,"
"SLC26A7"	""	"SUT2"	""	"SLC26A7,,SUT2,"
"SLC26A9"	""	""	""	"SLC26A9,,,"
"SLC26A11"	""	""	""	"SLC26A11,,,"
"SLC27A1"	""	"FATP1, FATP, MGC71751, FLJ00336, ACSVL5"	""	"SLC27A1,,FATP1, FATP, MGC71751, FLJ00336, ACSVL5,"
"SLC27A3"	""	"FATP3, MGC4365, ACSVL3"	""	"SLC27A3,,FATP3, MGC4365, ACSVL3,"
"SLC30A1"	"ZNT1"	"ZRC1"	""	"SLC30A1,ZNT1,ZRC1,"
"SLC30A3"	"ZNT3"	""	""	"SLC30A3,ZNT3,,"
"SLC30A8"	""	"ZnT-8, ZNT8"	""	"SLC30A8,,ZnT-8, ZNT8,"
"SLC30A10"	""	"DKFZp547M236, ZnT-10, ZRC1, ZNT8"	""	"SLC30A10,,DKFZp547M236, ZnT-10, ZRC1, ZNT8,"
"SLC33A1"	"ACATN, SPG42"	"AT-1, AT1"	""	"SLC33A1,ACATN, SPG42,AT-1, AT1,"
"SLC35A2"	"UGALT"	"UGAT, UGT, UGT1, UGT2, UGTL"	""	"SLC35A2,UGALT,UGAT, UGT, UGT1, UGT2, UGTL,"
"SLC35C2"	"C20orf5, OVCOV1"	"CGI-15, bA394O2.1"	""	"SLC35C2,C20orf5, OVCOV1,CGI-15, bA394O2.1,"
"SLC35E1"	""	"FLJ14251"	""	"SLC35E1,,FLJ14251,"
"SLC35F3"	""	"FLJ37712"	""	"SLC35F3,,FLJ37712,"
"SLC35F5"	""	"FLJ22004"	""	"SLC35F5,,FLJ22004,"
"SLC35G2"	"TMEM22"	"MGC3295, DKFZp564K2464"	""	"SLC35G2,TMEM22,MGC3295, DKFZp564K2464,"
"SLC35G5"	"AMAC, AMAC1L2"	""	""	"SLC35G5,AMAC, AMAC1L2,,"
"SLC38A10"	""	"MGC15523, PP1744"	""	"SLC38A10,,MGC15523, PP1744,"
"SLC39A1"	"ZIRTL"	"ZIP1"	""	"SLC39A1,ZIRTL,ZIP1,"
"SLC39A4"	"AEZ"	"ZIP4, AWMS2"	""	"SLC39A4,AEZ,ZIP4, AWMS2,"
"SLC39A5"	""	""	""	"SLC39A5,,,"
"SLC39A14"	""	"KIAA0062, NET34, ZIP14"	""	"SLC39A14,,KIAA0062, NET34, ZIP14,"
"SLC41A1"	""	"MgtE"	""	"SLC41A1,,MgtE,"
"SLC44A2"	""	"CTL2"	""	"SLC44A2,,CTL2,"
"SLC45A2"	"MATP"	"AIM-1, OCA4"	""	"SLC45A2,MATP,AIM-1, OCA4,"
"SLC45A3"	"PCANAP6, PCANAP2, PCANAP8"	"IPCA-6, prostein, IPCA-2, IPCA-8"	""	"SLC45A3,PCANAP6, PCANAP2, PCANAP8,IPCA-6, prostein, IPCA-2, IPCA-8,"
"SLC45A4"	""	"KIAA1126"	""	"SLC45A4,,KIAA1126,"
"SLC46A1"	""	"HCP1, MGC9564, PCFT"	""	"SLC46A1,,HCP1, MGC9564, PCFT,"
"SLC48A1"	""	"FLJ20489, hHRG-1, HRG1"	""	"SLC48A1,,FLJ20489, hHRG-1, HRG1,"
"SLC50A1"	"RAG1AP1"	"SCP, RP11-540D14.5, slv, RZPDo834D038D, HsSWEET1, SWEET1"	""	"SLC50A1,RAG1AP1,SCP, RP11-540D14.5, slv, RZPDo834D038D, HsSWEET1, SWEET1,"
"SLC51A"	""	"OSTalpha"	""	"SLC51A,,OSTalpha,"
"SLC52A2"	"GPR172A"	"FLJ11856, PAR1, GPCR41, D15Ertd747e, RFVT2, hRFT3"	""	"SLC52A2,GPR172A,FLJ11856, PAR1, GPCR41, D15Ertd747e, RFVT2, hRFT3,"
"SLC66A1L"	"C3orf55, PQLC2L"	""	""	"SLC66A1L,C3orf55, PQLC2L,,"
"SLCO4A1"	"SLC21A12"	"OATP-E, OATP4A1"	""	"SLCO4A1,SLC21A12,OATP-E, OATP4A1,"
"SLCO4A1-AS1"	""	""	"SLCO4A1-AS1"	"SLCO4A1-AS1,,,SLCO4A1-AS1"
"SLCO5A1"	"SLC21A15"	"OATPRP4, OATP-J, OATP5A1"	""	"SLCO5A1,SLC21A15,OATPRP4, OATP-J, OATP5A1,"
"SLFNL1"	""	"FLJ23878"	""	"SLFNL1,,FLJ23878,"
"SLFNL1-AS1"	""	""	"SLFNL1-AS1"	"SLFNL1-AS1,,,SLFNL1-AS1"
"SLITRK3"	""	"KIAA0848"	""	"SLITRK3,,KIAA0848,"
"SLPI"	""	"HUSI-I, ALK1, ALP, BLPI, HUSI, WAP4, WFDC4"	""	"SLPI,,HUSI-I, ALK1, ALP, BLPI, HUSI, WAP4, WFDC4,"
"SLURP1"	""	"ARS, ANUP, MDM, ArsB, LY6LS, LY6-MT"	""	"SLURP1,,ARS, ANUP, MDM, ArsB, LY6LS, LY6-MT,"
"SMAP2"	"SMAP1L"	""	""	"SMAP2,SMAP1L,,"
"SMARCA4"	"SNF2L4"	"hSNF2b, BRG1, BAF190, SNF2, SWI2, SNF2-BETA, SNF2LB, FLJ39786"	""	"SMARCA4,SNF2L4,hSNF2b, BRG1, BAF190, SNF2, SWI2, SNF2-BETA, SNF2LB, FLJ39786,"
"SMARCC2"	""	"BAF170, Rsc8, CRACC2"	""	"SMARCC2,,BAF170, Rsc8, CRACC2,"
"SMC4"	"SMC4L1"	"hCAP-C, CAP-C"	""	"SMC4,SMC4L1,hCAP-C, CAP-C,"
"SMCHD1"	""	"KIAA0650, FSHD2"	""	"SMCHD1,,KIAA0650, FSHD2,"
"SMCO1"	"C3orf43"	"FLJ41923, DKFZp313B0440"	""	"SMCO1,C3orf43,FLJ41923, DKFZp313B0440,"
"SMCP"	"MCSP"	""	""	"SMCP,MCSP,,"
"SMG5"	""	"KIAA1089, LPTS-RP1, LPTSRP1, RP11-54H19.7, SMG-5, EST1B"	""	"SMG5,,KIAA1089, LPTS-RP1, LPTSRP1, RP11-54H19.7, SMG-5, EST1B,"
"SMG7"	"C1orf16"	"KIAA0250, EST1C, SGA56M, SMG-7"	""	"SMG7,C1orf16,KIAA0250, EST1C, SGA56M, SMG-7,"
"SMG7-AS1"	""	"DKFZP564C196"	"SMG7-AS1"	"SMG7-AS1,,DKFZP564C196,SMG7-AS1"
"SMIM4"	"C3orf78"	""	""	"SMIM4,C3orf78,,"
"SMIM5"	"C17orf109"	""	""	"SMIM5,C17orf109,,"
"SMIM6"	"C17orf110"	"ELN"	""	"SMIM6,C17orf110,ELN,"
"SMIM7"	"C19orf42"	"MGC2747"	""	"SMIM7,C19orf42,MGC2747,"
"SMIM10L2B-AS1"	""	"ENST00000453528"	""	"SMIM10L2B-AS1,,ENST00000453528,"
"SMIM13"	"C6orf228"	""	""	"SMIM13,C6orf228,,"
"SMIM18"	""	""	""	"SMIM18,,,"
"SMIM19"	"C8orf40"	""	""	"SMIM19,C8orf40,,"
"SMOC2"	""	"SMAP2"	""	"SMOC2,,SMAP2,"
"SMYD2"	""	"HSKM-B, ZMYND14, KMT3C"	""	"SMYD2,,HSKM-B, ZMYND14, KMT3C,"
"SMYD3"	"ZNFN3A1, ZMYND1"	"KMT3E"	""	"SMYD3,ZNFN3A1, ZMYND1,KMT3E,"
"SNAI1"	""	"SNA, SLUGH2, SNAH, SNAIL1, SNAIL"	""	"SNAI1,,SNA, SLUGH2, SNAH, SNAIL1, SNAIL,"
"SNAI2"	"SLUG"	"SLUGH1, SNAIL2, SLUGH"	""	"SNAI2,SLUG,SLUGH1, SNAIL2, SLUGH,"
"SNAP47"	"C1orf142"	"SVAP1, SNAP-47"	""	"SNAP47,C1orf142,SVAP1, SNAP-47,"
"SNAPIN"	"SNAPAP"	"BLOC1S7, BORCS3"	""	"SNAPIN,SNAPAP,BLOC1S7, BORCS3,"
"SNAR-I"	""	"snaR-3"	""	"SNAR-I,,snaR-3,"
"SNHG6"	""	"U87HG, HBII-276HG, NCRNA00058"	"SNHG6"	"SNHG6,,U87HG, HBII-276HG, NCRNA00058,SNHG6"
"SNHG16"	""	"ncRAN, Nbla12061, Nbla10727"	"SNHG16"	"SNHG16,,ncRAN, Nbla12061, Nbla10727,SNHG16"
"SNHG18"	""	""	"SNHG18"	"SNHG18,,,SNHG18"
"SNHG28"	"C1orf204"	"FLJ39187, VSIG8-OT1"	""	"SNHG28,C1orf204,FLJ39187, VSIG8-OT1,"
"SNORA4"	""	"ACA4"	""	"SNORA4,,ACA4,"
"SNORA7B"	""	"ACA7B"	""	"SNORA7B,,ACA7B,"
"SNORA11C"	""	""	""	"SNORA11C,,,"
"SNORA14B"	""	"ACA14b"	""	"SNORA14B,,ACA14b,"
"SNORA16B"	""	"U98b"	""	"SNORA16B,,U98b,"
"SNORA18"	""	"ACA18"	""	"SNORA18,,ACA18,"
"SNORA21"	""	"ACA21"	""	"SNORA21,,ACA21,"
"SNORA30"	""	"ACA30, SNORA30A"	""	"SNORA30,,ACA30, SNORA30A,"
"SNORA32"	""	"ACA32"	""	"SNORA32,,ACA32,"
"SNORA36B"	""	"ACA36b"	""	"SNORA36B,,ACA36b,"
"SNORA38B"	""	""	""	"SNORA38B,,,"
"SNORA44"	""	"ACA44"	""	"SNORA44,,ACA44,"
"SNORA55"	""	"ACA55"	""	"SNORA55,,ACA55,"
"SNORA63"	"RNE3, RNU107"	"E3, E3-2, SNORA63A"	""	"SNORA63,RNE3, RNU107,E3, E3-2, SNORA63A,"
"SNORA68"	"RNU68"	"U68, SNORA68A"	""	"SNORA68,RNU68,U68, SNORA68A,"
"SNORA70G"	""	"U70G"	""	"SNORA70G,,U70G,"
"SNORA72"	"RNU72"	"U72"	""	"SNORA72,RNU72,U72,"
"SNORA77"	""	"ACA63, SNORA77A"	""	"SNORA77,,ACA63, SNORA77A,"
"SNORA78"	""	"ACA64"	""	"SNORA78,,ACA64,"
"SNORA80B"	""	"ACA67B"	""	"SNORA80B,,ACA67B,"
"SNORA80E"	"SNORA42"	"ACA42"	""	"SNORA80E,SNORA42,ACA42,"
"SNORA81"	""	"HBI-61"	""	"SNORA81,,HBI-61,"
"SNORD1B"	""	"R38B, snR38B"	""	"SNORD1B,,R38B, snR38B,"
"SNORD2"	""	"R39B, snR39B"	""	"SNORD2,,R39B, snR39B,"
"SNORD4A"	"RNU101A"	"Z17A, mgh18S-121"	""	"SNORD4A,RNU101A,Z17A, mgh18S-121,"
"SNORD4B"	"RNU101B"	"Z17B"	""	"SNORD4B,RNU101B,Z17B,"
"SNORD12"	"MIR1259, MIRN1259"	"HBII-99, hsa-mir-1259"	""	"SNORD12,MIR1259, MIRN1259,HBII-99, hsa-mir-1259,"
"SNORD12B"	""	""	""	"SNORD12B,,,"
"SNORD12C"	"RNU106, SNORD106"	"U106"	""	"SNORD12C,RNU106, SNORD106,U106,"
"SNORD13"	""	"U13, RNU13, SNORD13A"	""	"SNORD13,,U13, RNU13, SNORD13A,"
"SNORD41"	"RNU41"	"U41"	""	"SNORD41,RNU41,U41,"
"SNORD42A"	"RNU42A"	"U42"	""	"SNORD42A,RNU42A,U42,"
"SNORD42B"	"RNU42B"	"U42B"	""	"SNORD42B,RNU42B,U42B,"
"SNORD44"	"RNU44"	"U44"	""	"SNORD44,RNU44,U44,"
"SNORD47"	"RNU47"	"U47"	""	"SNORD47,RNU47,U47,"
"SNORD53"	"RNU53"	"U53, SNORD53A"	""	"SNORD53,RNU53,U53, SNORD53A,"
"SNORD54"	"RNU54"	"U54"	""	"SNORD54,RNU54,U54,"
"SNORD60"	"RNU60"	"U60"	""	"SNORD60,RNU60,U60,"
"SNORD64"	""	"HBII-13"	""	"SNORD64,,HBII-13,"
"SNORD66"	""	"HBII-142"	""	"SNORD66,,HBII-142,"
"SNORD72"	""	"HBII-240"	""	"SNORD72,,HBII-240,"
"SNORD74"	""	"U74, Z18, SNORD74A"	""	"SNORD74,,U74, Z18, SNORD74A,"
"SNORD75"	""	"U75"	""	"SNORD75,,U75,"
"SNORD76"	""	"U76"	""	"SNORD76,,U76,"
"SNORD77"	""	"U77, SNORD77A"	""	"SNORD77,,U77, SNORD77A,"
"SNORD78"	""	"U78"	""	"SNORD78,,U78,"
"SNORD79"	"RNU103"	"Z22, U79"	""	"SNORD79,RNU103,Z22, U79,"
"SNORD80"	"RNU100"	"Z15, U80"	""	"SNORD80,RNU100,Z15, U80,"
"SNORD81"	"RNU104"	"Z23, U81"	""	"SNORD81,RNU104,Z23, U81,"
"SNORD87"	""	"HBII-276, U87"	""	"SNORD87,,HBII-276, U87,"
"SNORD92"	""	"HBII-316"	""	"SNORD92,,HBII-316,"
"SNORD103A"	""	"U103"	""	"SNORD103A,,U103,"
"SNORD103B"	""	"U103B"	""	"SNORD103B,,U103B,"
"SNORD103C"	"SNORD85"	"HBII-251"	""	"SNORD103C,SNORD85,HBII-251,"
"SNORD105"	""	"U105"	""	"SNORD105,,U105,"
"SNORD105B"	""	""	""	"SNORD105B,,,"
"SNORD118"	""	"U8"	""	"SNORD118,,U8,"
"SNORD123"	""	""	""	"SNORD123,,,"
"SNORD124"	""	""	""	"SNORD124,,,"
"SNRPA"	""	"U1A, U1-A, Mud1"	""	"SNRPA,,U1A, U1-A, Mud1,"
"SNRPB2"	""	"Msl1, U2B''"	""	"SNRPB2,,Msl1, U2B'',"
"SNRPD2"	"SNRPD1"	"Sm-D2"	""	"SNRPD2,SNRPD1,Sm-D2,"
"SNRPD2P2"	""	""	""	"SNRPD2P2,,,"
"SNRPE"	""	"Sm-E"	""	"SNRPE,,Sm-E,"
"SNRPGP15"	""	""	""	"SNRPGP15,,,"
"SNTA1"	"SNT1"	"TACIP1, LQT12"	""	"SNTA1,SNT1,TACIP1, LQT12,"
"SNTB1"	"SNT2B1"	"59-DAP, A1B, BSYN2, TIP-43, SNT2"	""	"SNTB1,SNT2B1,59-DAP, A1B, BSYN2, TIP-43, SNT2,"
"SNTG1"	""	"SYN4, G1SYN"	""	"SNTG1,,SYN4, G1SYN,"
"SNX15"	""	""	""	"SNX15,,,"
"SNX16"	""	""	""	"SNX16,,,"
"SNX17"	""	"KIAA0064"	""	"SNX17,,KIAA0064,"
"SNX21"	"C20orf161"	"dJ337O18.4, SNX-L"	""	"SNX21,C20orf161,dJ337O18.4, SNX-L,"
"SNX27"	""	"MY014, KIAA0488, MGC20471"	""	"SNX27,,MY014, KIAA0488, MGC20471,"
"SNX31"	""	"MGC39715"	""	"SNX31,,MGC39715,"
"SNX32"	"SNX6B"	"FLJ30934"	""	"SNX32,SNX6B,FLJ30934,"
"SOAT1"	"SOAT, STAT"	"ACAT, ACAT1"	""	"SOAT1,SOAT, STAT,ACAT, ACAT1,"
"SOAT2"	""	"ACAT2"	""	"SOAT2,,ACAT2,"
"SOGA1"	"C20orf117, KIAA0889"	"dJ132F21.1, FLJ44670, SOGA"	""	"SOGA1,C20orf117, KIAA0889,dJ132F21.1, FLJ44670, SOGA,"
"SORBS3"	""	"SCAM-1, SH3D4, vinexin"	""	"SORBS3,,SCAM-1, SH3D4, vinexin,"
"SOX2"	""	""	""	"SOX2,,,"
"SOX2-OT"	"SOX2OT"	"DKFZp761J1324, NCRNA00043"	"SOX2-OT"	"SOX2-OT,SOX2OT,DKFZp761J1324, NCRNA00043,SOX2-OT"
"SOX7"	""	""	""	"SOX7,,,"
"SOX10"	""	"DOM, WS4, WS2E, SOX-10"	""	"SOX10,,DOM, WS4, WS2E, SOX-10,"
"SOX13"	""	"Sox-13, ICA12, MGC117216"	""	"SOX13,,Sox-13, ICA12, MGC117216,"
"SOX14"	""	"SOX28"	""	"SOX14,,SOX28,"
"SOX17"	""	""	""	"SOX17,,,"
"SOX18"	""	""	""	"SOX18,,,"
"SP2"	""	"KIAA0048"	""	"SP2,,KIAA0048,"
"SP2-AS1"	""	""	"SP2-AS1"	"SP2-AS1,,,SP2-AS1"
"SP7"	""	"osterix, OSX"	""	"SP7,,osterix, OSX,"
"SPAG1"	""	"SP75, FLJ32920, HSD-3.8, TPIS, CT140, CILD28, DNAAF13"	""	"SPAG1,,SP75, FLJ32920, HSD-3.8, TPIS, CT140, CILD28, DNAAF13,"
"SPAG5"	""	"DEEPEST, MAP126, hMAP126"	""	"SPAG5,,DEEPEST, MAP126, hMAP126,"
"SPAG5-AS1"	""	""	"SPAG5-AS1"	"SPAG5-AS1,,,SPAG5-AS1"
"SPAG11A"	""	"HE2, EDDM2A"	""	"SPAG11A,,HE2, EDDM2A,"
"SPAG11B"	""	"HE2, EP2, EP2C, EP2D, EDDM2B"	""	"SPAG11B,,HE2, EP2, EP2C, EP2D, EDDM2B,"
"SPANXA2-OT1"	"CXorf18"	"FLJ36186"	"SPANXA2-OT1"	"SPANXA2-OT1,CXorf18,FLJ36186,SPANXA2-OT1"
"SPATA2"	""	"KIAA0757, PD1, tamo, PPP1R145"	""	"SPATA2,,KIAA0757, PD1, tamo, PPP1R145,"
"SPATA16"	""	"NYD-SP12"	""	"SPATA16,,NYD-SP12,"
"SPATA17"	""	"IQCH, MOT17, FAP305, CFAP305"	""	"SPATA17,,IQCH, MOT17, FAP305, CFAP305,"
"SPATA25"	"C20orf165"	"dJ337O18.8, TSG23"	""	"SPATA25,C20orf165,dJ337O18.8, TSG23,"
"SPATA45"	"C1orf227"	"LOC149643"	""	"SPATA45,C1orf227,LOC149643,"
"SPATA46"	"C1orf111"	"TEKT2BP2"	""	"SPATA46,C1orf111,TEKT2BP2,"
"SPATC1"	""	"MGC61633, SPATA15, SPERIOLIN"	""	"SPATC1,,MGC61633, SPATA15, SPERIOLIN,"
"SPC24"	"SPBC24"	"FLJ90806"	""	"SPC24,SPBC24,FLJ90806,"
"SPDYA"	"SPDY1"	"SPY1, Ringo3"	""	"SPDYA,SPDY1,SPY1, Ringo3,"
"SPDYC"	""	"Ringo2"	""	"SPDYC,,Ringo2,"
"SPEF2"	""	"KPL2, FLJ23577, CT122"	""	"SPEF2,,KPL2, FLJ23577, CT122,"
"SPHAR"	""	""	""	"SPHAR,,,"
"SPHK1"	""	"SPHK"	""	"SPHK1,,SPHK,"
"SPIDR"	"KIAA0146"	""	""	"SPIDR,KIAA0146,,"
"SPINDOC"	"C11orf84"	"SPIN-DOC"	""	"SPINDOC,C11orf84,SPIN-DOC,"
"SPINT2"	""	"Kop, HAI-2"	""	"SPINT2,,Kop, HAI-2,"
"SPINT3"	""	"HKIB9"	""	"SPINT3,,HKIB9,"
"SPINT4"	"C20orf137"	"dJ601O1.1"	""	"SPINT4,C20orf137,dJ601O1.1,"
"SPO11"	""	"CT35, SPATA43, TOPVIA, TOPOVIA"	""	"SPO11,,CT35, SPATA43, TOPVIA, TOPOVIA,"
"SPOCD1"	""	"FLJ25348, PPP1R146"	""	"SPOCD1,,FLJ25348, PPP1R146,"
"SPRED3"	""	""	""	"SPRED3,,,"
"SPRR1A"	""	""	""	"SPRR1A,,,"
"SPRR1B"	"SPRR1"	"GADD33"	""	"SPRR1B,SPRR1,GADD33,"
"SPRR2A"	""	""	""	"SPRR2A,,,"
"SPRR2B"	""	""	""	"SPRR2B,,,"
"SPRR2C"	""	""	""	"SPRR2C,,,"
"SPRR2D"	""	""	""	"SPRR2D,,,"
"SPRR2E"	""	""	""	"SPRR2E,,,"
"SPRR2F"	""	""	""	"SPRR2F,,,"
"SPRR2G"	""	""	""	"SPRR2G,,,"
"SPRR3"	""	""	""	"SPRR3,,,"
"SPRR4"	""	""	""	"SPRR4,,,"
"SPRTN"	"C1orf124"	"DKFZP547N043, Spartan, DVC1"	""	"SPRTN,C1orf124,DKFZP547N043, Spartan, DVC1,"
"SPRYD3"	""	"FLJ14800"	""	"SPRYD3,,FLJ14800,"
"SPSB2"	""	"GRCC9, SSB-2"	""	"SPSB2,,GRCC9, SSB-2,"
"SPSB4"	""	"SSB-4"	""	"SPSB4,,SSB-4,"
"SPTA1"	""	"EL2"	""	"SPTA1,,EL2,"
"SPTBN4"	""	"SPTBN3, KIAA1642"	""	"SPTBN4,,SPTBN3, KIAA1642,"
"SPTSSB"	"C3orf57"	"ADMP, ssSPTb"	""	"SPTSSB,C3orf57,ADMP, ssSPTb,"
"SQLE"	""	""	""	"SQLE,,,"
"SRC"	"SRC1"	"ASV, c-src"	""	"SRC,SRC1,ASV, c-src,"
"SRCAP"	""	"KIAA0309, EAF1, SWR1, DOMO1"	""	"SRCAP,,KIAA0309, EAF1, SWR1, DOMO1,"
"SRD5A1"	""	""	""	"SRD5A1,,,"
"SRD5A1P1"	"SRD5AP1"	""	""	"SRD5A1P1,SRD5AP1,,"
"SRGAP2"	"FNBP2"	"KIAA0456, ARHGAP34, SRGAP2A"	""	"SRGAP2,FNBP2,KIAA0456, ARHGAP34, SRGAP2A,"
"SRGAP2-AS1"	""	""	"SRGAP2-AS1"	"SRGAP2-AS1,,,SRGAP2-AS1"
"SRGAP2B"	"SRGAP2P2"	""	""	"SRGAP2B,SRGAP2P2,,"
"SRGAP2C"	"SRGAP2P1"	""	""	"SRGAP2C,SRGAP2P1,,"
